LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
createdby,CreatedBy,Lookup,,LookupType,False,False,False,True,3,,Unique identifier of the user who created the record.,Created By,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,,{c1f6db74-bc69-47ab-bbec-e1e24bd96df0},None,Standard
createdbyname,CreatedByName,String,createdby,StringType,False,False,False,True,8,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{2fe54a93-c396-4305-854d-94187264a6c2},None,Standard
createdbyyominame,CreatedByYomiName,String,createdby,StringType,False,False,False,True,9,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{bc2daba5-38aa-4273-9708-1155c0533e67},SystemRequired,Standard
createdon,CreatedOn,DateTime,,DateTimeType,False,False,False,True,2,,Date and time when the record was created.,Created On,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,True,,{f45991df-e1f1-4f8b-a0cd-839d9e7cb58c},None,Standard
createdonbehalfby,CreatedOnBehalfBy,Lookup,,LookupType,False,False,False,True,6,,Unique identifier of the delegate user who created the record.,Created By (Delegate),m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,,{95a0c6f6-a17b-4773-9cd8-aaeec74e287c},None,Standard
createdonbehalfbyname,CreatedOnBehalfByName,String,createdonbehalfby,StringType,False,False,False,True,10,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{5485a49e-84b7-42da-93bd-2f41d7d0cfaa},None,Standard
createdonbehalfbyyominame,CreatedOnBehalfByYomiName,String,createdonbehalfby,StringType,False,False,False,True,11,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{cda0fba6-eb42-4426-a9ef-857eb340cb13},SystemRequired,Standard
importsequencenumber,ImportSequenceNumber,Integer,,IntegerType,False,False,False,True,30,,Sequence number of the import that created this record.,Import Sequence Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,,{e0480caf-05a3-4873-b1ea-c9e74689591b},None,Standard
m360_case_status,m360_case_status,Lookup,,LookupType,True,True,True,True,35,,,Case Status,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{0969b2ca-058e-4409-af88-7d6b62a4b6d1},None,Standard
m360_case_statusname,m360_case_statusName,String,m360_case_status,StringType,False,False,False,True,79,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0.0.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{385521a2-43c9-4416-96c2-dd3616ea1868},None,Standard
